Gen: 1
     id: 0| fitness:0.39776329601075794 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333] |fit^123:[0.14172191194603612, 0.8829030086924146, 0.16866496739382303]
     id: 1| fitness:0.1702894709639298 | w: [0.9, 0.05, 0.05] |fit^123:[0.14254877783419162, 0.7132935229339405, 0.12661789532920653]
     id: 2| fitness:0.7382500507257244 | w: [0.05, 0.9, 0.05] |fit^123:[0.14135925146877493, 0.805616416777649, 0.12254626104803204]
     id: 3| fitness:0.14437771034185118 | w: [0.05, 0.05, 0.9] |fit^123:[0.18952201349096975, 0.8293308129627243, 0.10381674335462941]
     id: 4| fitness:0.19532860488133302 | w: [0.6971434034376125, 0.020136128827006328, 0.2827204677353812] |fit^123:[0.20244433161674041, 0.9101688361902307, 0.1268694759839783]
     id: 5| fitness:0.19143650287479533 | w: [0.896034975695987, 0.0548823066964841, 0.0490827176075289] |fit^123:[0.1584507144411402, 0.7870000429608627, 0.12767718229666655]
     id: 6| fitness:0.20400831606758157 | w: [0.8524800733692196, 0.07275695281297341, 0.07476297381780699] |fit^123:[0.15230724595633569, 0.8681674328020507, 0.14718792412857096]
     id: 7| fitness:0.4880716317976669 | w: [0.3801712902439832, 0.5235402287195781, 0.09628848103643872] |fit^123:[0.17809530717342423, 0.7782789878420758, 0.1340196630143335]
     id: 8| fitness:0.4876035060651115 | w: [0.16562415599025138, 0.4585651602593752, 0.3758106837503734] |fit^123:[0.12896786828171466, 0.9092809783620455, 0.13112648548445827]
     id: 9| fitness:0.570323042707636 | w: [0.30978045049277203, 0.5695183756723818, 0.12070117383484613] |fit^123:[0.19560310437368536, 0.8681674328020507, 0.1266907213082194]
     id: 10| fitness:0.20397533600287368 | w: [0.6642662288663767, 0.08223615580541235, 0.253497615328211] |fit^123:[0.13066366867338797, 1.0, 0.13784633718428282]
     id: 11| fitness:0.17151076290194917 | w: [0.6172406006329713, 0.011327073044870881, 0.37143232632215784] |fit^123:[0.19312975991876405, 0.6967535908121035, 0.11956701645205071]
     id: 12| fitness:0.2294390815362088 | w: [0.5564371452298424, 0.11361740764758228, 0.3299454471225753] |fit^123:[0.20776238485529847, 0.6397302057825321, 0.12471117878777847]
     id: 13| fitness:0.40076837515161085 | w: [0.5603472428538948, 0.3396991994793699, 0.0999535576667353] |fit^123:[0.21237542612606078, 0.7873866907247498, 0.1429640173458241]
     id: 14| fitness:0.3617097471196221 | w: [0.46815223553827157, 0.24337643128057265, 0.2884713331811558] |fit^123:[0.16964241676942046, 1.0, 0.13490019530603461]
     id: 15| fitness:0.26049160394229154 | w: [0.7880156137751229, 0.09949368366118107, 0.11249070256369607] |fit^123:[0.17658083702038152, 1.0, 0.19423350657088947]
     id: 16| fitness:0.5047729351054522 | w: [0.3207566721377876, 0.6198653922137025, 0.059377935648509905] |fit^123:[0.1631217813882643, 0.7189357162291818, 0.11464133205336158]
     id: 17| fitness:0.47550381056321794 | w: [0.39783323568253104, 0.4302139076080779, 0.1719528567093911] |fit^123:[0.17751505040980634, 0.8829030086924146, 0.14565195802575392]
     id: 18| fitness:0.1892224312486498 | w: [0.006676720796108704, 0.06878561765623423, 0.924537661547657] |fit^123:[0.16654529629360992, 0.9092809783620455, 0.1358138303154689]
     id: 19| fitness:0.24040388045038003 | w: [0.5498952748381294, 0.115754982052714, 0.3343497431091566] |fit^123:[0.160031914121999, 0.8681674328020507, 0.15525174616836043]

Gen: 2
     id: 0| fitness:0.39195779879086234 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333] |fit^123:[0.1520388772031624, 0.8829030086924146, 0.14093151047701016]
     id: 1| fitness:0.1702894709639298 | w: [0.9, 0.05, 0.05] |fit^123:[0.14254877783419162, 0.7132935229339405, 0.12661789532920653]
     id: 2| fitness:0.7382500507257244 | w: [0.05, 0.9, 0.05] |fit^123:[0.14135925146877493, 0.805616416777649, 0.12254626104803204]
     id: 3| fitness:0.14437771034185118 | w: [0.05, 0.05, 0.9] |fit^123:[0.18952201349096975, 0.8293308129627243, 0.10381674335462941]
     id: 4| fitness:0.19532860488133302 | w: [0.6971434034376125, 0.020136128827006328, 0.2827204677353812] |fit^123:[0.20244433161674041, 0.9101688361902307, 0.1268694759839783]
     id: 5| fitness:0.19143650287479533 | w: [0.896034975695987, 0.0548823066964841, 0.0490827176075289] |fit^123:[0.1584507144411402, 0.7870000429608627, 0.12767718229666655]
     id: 6| fitness:0.20400831606758157 | w: [0.8524800733692196, 0.07275695281297341, 0.07476297381780699] |fit^123:[0.15230724595633569, 0.8681674328020507, 0.14718792412857096]
     id: 7| fitness:0.4880716317976669 | w: [0.3801712902439832, 0.5235402287195781, 0.09628848103643872] |fit^123:[0.17809530717342423, 0.7782789878420758, 0.1340196630143335]
     id: 8| fitness:0.4876035060651115 | w: [0.16562415599025138, 0.4585651602593752, 0.3758106837503734] |fit^123:[0.12896786828171466, 0.9092809783620455, 0.13112648548445827]
     id: 9| fitness:0.570323042707636 | w: [0.30978045049277203, 0.5695183756723818, 0.12070117383484613] |fit^123:[0.19560310437368536, 0.8681674328020507, 0.1266907213082194]
